Complaint 1,,Complaint 2,,Complaint 3,,Complaint 4,,Complaint 5,
"Metric Media, LLC d/b/a Lake County Gazette v. North Wamac School District 186",,"Metric Media, LLC d/b/a Chambana Sun v. Armstrong Township High School District 225",,"Metric Media, LLC d/b/a Lake County Gazette v. Township High School District 113",,"Metric Media, LLC d/b/a South Central Reporter v. Oakdale Community Consolidated School District 1",,"Metric Media, LLC d/b/a Lake County Gazette v. Centralia High School District 200",
,,,,,,,,,
Full Folder,https://www.dropbox.com/scl/fi/1xj71rocpu9ftpzl1f0oe/20241111_complaintinator_southce_centrali_1800.docx?rlkey=o9x11az2869ij62yh5qb1vlzt&st=0mfklabx&dl=0,Full Folder,https://www.dropbox.com/scl/fo/bz4e35l3xy808mq3mwkz6/AD3WuDGv9VIUpsb2RgOzVVQ?rlkey=vrrvarr7vopyn5ycb7117n1z0&st=g9ti5rjj&dl=0,Full Folder,https://www.dropbox.com/scl/fi/uwlb80jeiyyge1otij5yw/20241111_Source_Data_lakecou_northwa_1800.docx?rlkey=34zdu35eb5jyvvcrtida0oeot&st=7fpsru33&dl=0,Full Folder,https://www.dropbox.com/scl/fo/fth67z44i5bpxkfgwknla/AD_OqMcWe1y77nh4wif1y9Q?rlkey=cp8gdc0biadokxzdiqdaja0yu&st=9lfc860d&dl=0,Full Folder,https://www.dropbox.com/scl/fo/ybh9qasc0sl2c3mcl9171/APRl0JCr7rpiqb4d3-rUAPI?rlkey=aowsp50a9huzsgk4wsbt3zqrk&st=1s2xmme0&dl=0
Complaint docx,https://www.dropbox.com/scl/fo/6ed2y33rpxwbp20x7sw3e/APPf71VMcS3jrlYbGG4596Y?rlkey=1oritqh8sfkz7e142nv3idavs&st=lhgpz5kk&dl=0,Complaint docx,https://www.dropbox.com/scl/fo/oag21d1afq84ioihxm9bd/APhXjB4Ao5E2-6csC_mmN-w?rlkey=jab6gws5bkoepb5mdc91hktil&st=gi8kjsx7&dl=0,Complaint docx,https://www.dropbox.com/scl/fo/08s9ahmelwazl9zrfr9pd/APr06adFOufbcQe4cgNMEYs?rlkey=x855om2rzc0ennkm9bpwmrd02&st=mgm6di0r&dl=0,Complaint docx,https://www.dropbox.com/scl/fi/dzik1mlulmo8z67mhpipw/20241111_complaintinator_southce_oakdale_1800.docx?rlkey=a4y4h9sta6vyf300p0idbdzrh&st=uzqlzvbz&dl=0,Complaint docx,https://www.dropbox.com/scl/fi/1xj71rocpu9ftpzl1f0oe/20241111_complaintinator_southce_centrali_1800.docx?rlkey=o9x11az2869ij62yh5qb1vlzt&st=0mfklabx&dl=0
Exhibit A pdf,placeholder.com,Exhibit A pdf,placeholder.com,Exhibit A pdf,placeholder.com,Exhibit A pdf,placeholder.com,Exhibit A pdf,placeholder.com
Track Changes,https://www.dropbox.com/scl/fi/eciyb2tlrokgu6rpxuhs8/20241111_complaintinator_lakecou_northwa_1759.docx?rlkey=e95oq9jkw471xzn6phbs0qv39&st=usv7ii5m&dl=0,Track Changes,https://www.dropbox.com/scl/fi/hopjk6e0x50ecaahn677w/20241111_Source_Data_chambana_armstron_1800.docx?rlkey=5j09jb26ct4o6l2dtwanwy7hb&st=c5qtkitj&dl=0,Track Changes,https://www.dropbox.com/scl/fi/p6tvsafgxtxvj1nvyy5q8/20241111_Track_Changes_lakecou_township_1800.docx?rlkey=u7gszbp2c17de00mpwr51i6w0&st=4ate266h&dl=0,Track Changes,https://www.dropbox.com/scl/fi/dzik1mlulmo8z67mhpipw/20241111_complaintinator_southce_oakdale_1800.docx?rlkey=a4y4h9sta6vyf300p0idbdzrh&st=uzqlzvbz&dl=0,Track Changes,https://www.dropbox.com/scl/fi/35m25disevm1w356a00md/20241111_Track_Changes_southce_centrali_1800.docx?rlkey=4wife9erqfh7toiq9jpv8pt6f&st=ub1ksm5y&dl=0
Source Data,https://www.dropbox.com/scl/fi/3rtq1rvfqskrt93v7n1yn/20241111_Track_Changes_lakecou_northwa_1800.docx?rlkey=ffsntxvqhkzt3bxhduufz1bs7&st=l3cfkc1w&dl=0,Source Data,https://www.dropbox.com/scl/fi/9uqdhfgljtzclzp9317sq/20241111_Track_Changes_chambana_armstron_1800.docx?rlkey=7skftuik3wqt8s3o6qvk6hjux&st=6whr8yk7&dl=0,Source Data,https://www.dropbox.com/scl/fi/w1snzuwjzg5llzq34aqni/20241111_complaintinator_lakecou_township_1800.docx?rlkey=l2z3418tw6gqbsct5sfj0gdkc&st=7xbl2a1y&dl=0,Source Data,https://www.dropbox.com/scl/fi/rap0auq31w44muiddb9h6/20241111_Source_Data_southce_oakdale_1800.docx?rlkey=h8khfoydm30ccdciw4lmyajm4&st=5j93ba4w&dl=0,Source Data,https://www.dropbox.com/scl/fi/r1b9djo606bwz4dy292zk/20241111_Source_Data_southce_centrali_1800.docx?rlkey=qxe0g9terqc0sr7elohgjng3p&st=j5cjxcfz&dl=0
